air_Pressure_mH2o,air_Temp_float,airtime,batt,dev_id,dist,rssi,snr,wat_Pressure_mH2o,wat_Temp_float,wat_level_mH2o
10.26704693,21.6035614,4.94E+08,3.734,fipy_d1,29.8,-25,9.2,10.28113556,20.93939781,0.014088631
-1,0,4.94E+08,3.748,fipy_e1,677.9,-25,10.8,9.999438286,24.54078102,10.99943829
10.2664547,24.50320816,4.94E+08,3.733,fipy_d1,29.9,-28,12.8,10.28216171,23.47319412,0.015707016
-1,0,4.94E+08,3.749,fipy_e1,600.6,-27,10.2,10.00380993,23.19400406,11.00380993
10.26731491,24.48480034,4.94E+08,3.735,fipy_d1,55.6,-25,9.2,10.28321171,24.43245316,0.015896797
-1,0,4.94E+08,3.75,fipy_e1,448.5,-28,11.8,10.00801468,22.9282589,11.00801468
10.26711273,23.81788254,4.94E+08,3.734,fipy_d1,55.6,-27,11.8,10.2836895,24.41810799,0.016576767
-1,0,2.14E+09,3.482,puhatu_b3,52.2,-120,-7.5,-1,0,0
-1,0,4.94E+08,3.747,fipy_e1,70.7,-28,12.2,10.00162125,22.69813728,11.00162125
10.26972103,23.61771011,4.94E+08,3.734,fipy_d1,55,-26,12.5,10.28588867,24.02900887,0.016167641
-1,0,4.94E+08,3.748,fipy_e1,70.6,-27,8.2,10.00462914,22.55773163,11.00462914
10.271595,23.5445652,4.94E+08,3.734,fipy_d1,55.2,-28,12.2,10.28700638,23.66246605,0.015411377
-1,0,4.94E+08,3.749,fipy_e1,70.5,-28,9.2,10.00509262,22.28191948,11.00509262
10.27109432,22.97227097,4.94E+08,3.734,fipy_d1,55.5,-25,9,10.28599262,23.18280029,0.0148983
10.32037449,20.74485779,2.14E+09,4.309,puhatu_b1,49.8,-101,11,11.81874847,6.097671509,1.498373985
10.31865597,16.02459908,2.14E+09,3.573,puhatu_l1,0,-123,-16.5,-1,0,-11.31865597
-1,0,4.94E+08,3.748,fipy_e1,71.1,-27,12,10.00647449,22.31663895,11.00647449
